trade_date,gross_return,rebalance_turnover,roll_turnover,active_products,transaction_cost,net_return,nav,drawdown
2021-03-02,-0.002251019881357813,0.125,0.0,32,6.25e-05,-0.002313519881357813,1.0626788165485976,-0.02196040174256253
2021-03-03,0.005807969672532821,0.09375,0.03125,32,5.625e-05,0.005751719672532821,1.068791047203324,-0.016334992144749205
2021-03-04,0.004224729817410337,0.09375,0.0,32,4.6875e-05,0.004177854817410337,1.0732563010286873,-0.012225382552963238
2021-03-05,0.009111581447258755,0.0625,0.03125,32,4.0625e-05,0.009070956447258754,1.0829917621920646,-0.0032653220183934684
2021-03-08,-0.0027605297955456236,0.125,0.0,32,6.25e-05,-0.0028230297955456236,1.079934444179066,-0.006079133712589169
2021-03-09,-0.01011095792530945,0.09375,0.03125,32,5.625e-05,-0.010167207925309452,1.0689545261393938,-0.01618453382143703
2021-03-10,-0.002860427378539969,0.15625,0.03125,32,8.75e-05,-0.002947927378539969,1.0658033258253732,-0.019084750369615877
2021-03-11,0.002965487581759213,0.1875,0.0,32,9.375e-05,0.002871737581759213,1.0688640332909098,-0.01626781918273168
2021-03-12,0.002823400628310671,0.0625,0.03125,32,4.0625e-05,0.002782775628310671,1.0718384420727298,-0.01353031324516829
2021-03-15,-0.0037468214332938565,0.03125,0.0,32,1.5625e-05,-0.0037624464332938565,1.0678057073492861,-0.017241852599651386
2021-03-16,-0.007552205736086878,0.09375,0.0625,32,6.5625e-05,-0.007617830736086878,1.0596713442116716,-0.024728337821057655
2021-03-17,-0.001320437245233931,0.125,0.0,32,6.25e-05,-0.0013829372452339311,1.0582058852420542,-0.02607707732690623
2021-03-18,-0.00702403109365474,0.15625,0.0,32,7.8125e-05,-0.00710215609365474,1.050690341865841,-0.03299402994691891
2021-03-19,0.004693512242647285,0.1875,0.0,32,9.375e-05,0.0045997622426472845,1.0555232676290698,-0.028546032397454124
2021-03-22,-0.0004848066441180479,0.125,0.03125,32,7.1875e-05,-0.0005566816441180479,1.0549356772010412,-0.02908682298932408
2021-03-23,-0.003060988006708138,0.21875,0.0,32,0.000109375,-0.003170363006708138,1.0515911481555864,-0.03216497020844422
2021-03-24,-0.00013765595134978062,0.03125,0.0,32,1.5625e-05,-0.00015328095134978063,1.051429959263966,-0.03231332088256045
2021-03-25,-0.001191483988713514,0.125,0.0625,32,8.125e-05,-0.001272733988713514,1.050091768618059,-0.03354492860949854
2021-03-26,-0.0021995029722744128,0.09375,0.03125,32,5.625e-05,-0.0022557529722744126,1.047723020989838,-0.035725012509357335
2021-03-29,0.0016227062518316265,0.0625,0.03125,32,4.0625e-05,0.0015820812518316265,1.0493806039384586,-0.03419945113003808
2021-03-30,-5.640168189028835e-05,0.125,0.0625,32,8.125e-05,-0.00013765168189028835,1.0492361549333833,-0.034332395199960675
2021-03-31,-0.0038422104741722245,0.125,0.0625,32,8.125e-05,-0.003923460474172224,1.0451195183514297,-0.03812115387858228
2021-04-01,-0.004544708245106839,0.0625,0.03125,32,4.0625e-05,-0.004585333245106839,1.0403272970788229,-0.04253168892946768
2021-04-02,0.000275055390434719,0.1875,0.03125,32,0.000103125,0.00017193039043471902,1.0405061609571895,-0.04236707102891657
2021-04-06,-0.003804151944052935,0.25,0.03125,32,0.000134375,-0.003938526944052935,1.0364080994068066,-0.04613873412218139
2021-04-07,0.0012121279969290952,0.1875,0.09375,32,0.000121875,0.0010902529969290952,1.0375380464432262,-0.045098784018403726
2021-04-08,0.003855430509997055,0.09375,0.03125,32,5.625e-05,0.003799180509997055,1.0414798407676538,-0.04147094192967393
2021-04-09,0.0013777789531916294,0.09375,0.03125,32,5.625e-05,0.0013215289531916293,1.0428561865313937,-0.040204218026958505
2021-04-12,-0.00012081262884949123,0.03125,0.0,32,1.5625e-05,-0.00013643762884949125,1.0427139017060723,-0.04033517028763067
2021-04-13,-0.001432161202149191,0.09375,0.0625,32,6.5625e-05,-0.001497786202149191,1.0411521392113077,-0.04177254302826183
2021-04-14,-0.006073489863102976,0.125,0.0,32,6.25e-05,-0.006135989863102976,1.0347636402391591,-0.047652216990787366
2021-04-15,-0.00030745575761004576,0.0625,0.0625,32,4.9999999999999996e-05,-0.0003574557576100458,1.0343937580181901,-0.04799263918907115
2021-04-16,0.0032709864753305076,0.15625,0.0625,32,9.6875e-05,0.0031741114753305075,1.037677039115526,-0.044970861700522
2021-04-19,0.0015828853981955937,0.125,0.09375,32,9.0625e-05,0.0014922603981955937,1.0392255234671148,-0.043545709538314936
2021-04-20,0.00047984865701825377,0.21875,0.0625,32,0.000128125,0.0003517236570182538,1.0395910436686955,-0.04320930193750283
2021-04-21,-0.0024127281254181024,0.125,0.0,32,6.25e-05,-0.0024752281254181024,1.037017818678474,-0.04557757718348554
2021-04-22,-0.001866465157663394,0.15625,0.03125,32,8.75e-05,-0.001953965157663394,1.0349915219929,-0.04744248534336182
2021-04-23,0.003843192662999255,0.0625,0.03125,32,4.0625e-05,0.003802567662999255,1.0389271472859087,-0.04382032094098143
2021-04-26,0.0013191139486396428,0.15625,0.03125,32,8.75e-05,0.0012316139486396429,1.0402067044521266,-0.04264267671084643
2021-04-27,-0.003098949288550149,0.1875,0.03125,32,0.000103125,-0.003202074288550149,1.036875885309023,-0.045708205980705796
2021-04-28,-0.0011601741065630049,0.1875,0.0,32,9.375e-05,-0.001253924106563005,1.03557572164092,-0.046904815465921956
2021-04-29,-0.0025693569782079505,0.125,0.0625,32,8.125e-05,-0.0026506069782079506,1.0328308174066758,-0.04943109621294439
2021-04-30,0.003862640006265756,0.15625,0.0625,32,9.6875e-05,0.0037657650062657556,1.0367202155562587,-0.04585147709901871
2021-05-06,0.0017261506938670464,0.125,0.0,32,6.25e-05,0.0016636506938670463,1.0384449558622149,-0.044264107246842266
2021-05-07,0.007922589391700641,0.1875,0.0,32,9.375e-05,0.007828839391700641,1.0465747746387817,-0.03678180444159429
2021-05-10,0.009214944646528951,0.15625,0.0,32,7.8125e-05,0.009136819646528951,1.0561371396012629,-0.02798105350852209
2021-05-11,0.005915462206657909,0.09375,0.0,32,4.6875e-05,0.005868587206657909,1.0623351725072032,-0.02227667555451307
2021-05-12,0.0005463525639317866,0.125,0.03125,32,7.1875e-05,0.00047447756393178663,1.0628392267119335,-0.021812767773330854
2021-05-13,-0.0037679508434600856,0.03125,0.0,32,1.5625e-05,-0.0037835758434600856,1.0588178938882644,-0.025513813355564796
2021-05-14,-0.002709139282106369,0.125,0.0,32,6.25e-05,-0.002771639282106369,1.0558832326209666,-0.028214737550338542
2021-05-17,-0.00013906518075415888,0.125,0.0,32,6.25e-05,-0.00020156518075415889,1.055670403326328,-0.028410615622418423
2021-05-18,-0.0017779064952680446,0.15625,0.03125,32,8.75e-05,-0.0018654064952680445,1.0537011488991008,-0.03022302477076988
